sensor1,sensor2,sensor3
0.005377,0.005043,0.006364
0.004442,0.00471,0.006214
0.005984,0.00532,0.006439
0.005891,0.005486,0.006514
0.005283,0.005486,0.006514
0.004442,0.005264,0.006439
0.00547,0.005375,0.006439
0.00533,0.005486,0.006514
0.005517,0.005541,0.006589
0.006826,0.005929,0.006739
0.006919,0.006317,0.006963
0.004255,0.005652,0.006739
0.003366,0.005209,0.006514
0.003553,0.004987,0.006439
0.003366,0.00471,0.006214
0.0036,0.004544,0.00614
0.00346,0.004433,0.006065
0.002945,0.004156,0.005915
0.002431,0.003768,0.00569
0.002618,0.003657,0.005541
0.003927,0.003879,0.005615
0.002618,0.003546,0.005391
0.0036,0.003713,0.005391
0.006405,0.004378,0.005615
0.003506,0.003879,0.005391
0.002618,0.003546,0.005166
0.003506,0.003657,0.005166
0.004722,0.004267,0.005391
0.003834,0.004045,0.005316
0.00374,0.003934,0.005166
0.002618,0.003602,0.005016
0.003273,0.003602,0.004942
0.001823,0.002992,0.004642
0.003226,0.003103,0.004567
0.005797,0.003879,0.004867
0.005657,0.004322,0.005016
0.003179,0.003824,0.004867
0.002805,0.003546,0.004717
0.001169,0.002882,0.004343
0.000748,0.002327,0.003968
0.001777,0.002217,0.003819
0.004442,0.002882,0.004043
0.005143,0.003602,0.004343
0.003553,0.003436,0.004268
0.003553,0.003546,0.004268
0.002618,0.003214,0.004118
0.003132,0.003325,0.004193
0.002478,0.003048,0.004043
0.003179,0.003103,0.004043
0.002618,0.002882,0.003893
0.003039,0.003048,0.003893
0.003366,0.003214,0.003968
0.003226,0.003325,0.004043
0.00346,0.003269,0.003968
0.002618,0.002992,0.003819
0.002197,0.002826,0.003744
0.002478,0.002715,0.003594
0.002571,0.002715,0.003594
0.004488,0.003214,0.003744
0.005844,0.003713,0.003968
0.004956,0.003824,0.003968
0.003086,0.003436,0.003819
0.005797,0.004322,0.004268
0.002618,0.003602,0.004043
0.004722,0.004156,0.004268
0.003132,0.003879,0.004193
0.002338,0.003546,0.004043
0.001964,0.003159,0.003893
0.002945,0.003325,0.003968
0.00201,0.002992,0.003819
0.002478,0.002992,0.003819
0.003834,0.003325,0.003893
0.004769,0.003713,0.004118
0.00388,0.003657,0.004118
0.004442,0.003824,0.004193
0.006919,0.004876,0.004717
0.004722,0.00471,0.004717
0.004301,0.004655,0.004792
0.00533,0.005098,0.005016
0.005003,0.005209,0.005166
0.005891,0.005597,0.005466
0.003647,0.004932,0.005166
0.004255,0.004821,0.005166
0.003834,0.004655,0.005166
0.003273,0.004211,0.004942
0.001917,0.003602,0.004717
0.004255,0.00399,0.004867
0.00374,0.003934,0.004792
0.003693,0.003934,0.004867
0.003366,0.003768,0.004792
0.003787,0.003824,0.004792
0.004208,0.00399,0.004867
0.004208,0.00399,0.004867
0.004488,0.004156,0.004942
0.004255,0.004156,0.004942
0.002758,0.003713,0.004717
0.003273,0.003657,0.004717
0.003273,0.003546,0.004642
0.002992,0.003436,0.004567
0.002384,0.003159,0.004343
0.002618,0.003103,0.004268
0.002384,0.002882,0.004118
0.004021,0.00338,0.004343
0.002618,0.003048,0.004118
0.002665,0.003048,0.004118
0.001964,0.002771,0.003968
0.00388,0.003325,0.004193
0.005564,0.003879,0.004417
0.006639,0.00471,0.004792
0.006125,0.004876,0.004942
0.004348,0.004655,0.004867
0.003787,0.004378,0.004792
0.004021,0.004322,0.004867
0.004255,0.004322,0.004867
0.005049,0.004544,0.005016
0.006732,0.005209,0.005316
0.005564,0.00532,0.005466
0.003974,0.004876,0.005316
0.003086,0.004544,0.005241
0.002805,0.004267,0.005091
0.003179,0.004156,0.005091
0.002291,0.003713,0.004867
0.003132,0.003824,0.004867
0.003366,0.003768,0.004867
0.00346,0.003768,0.004867
0.00388,0.003824,0.004867
0.003319,0.003713,0.004792
0.003226,0.003602,0.004717
0.004161,0.003824,0.004792
0.004301,0.003879,0.004792
0.004675,0.004211,0.004942
0.004488,0.004211,0.004942
0.004722,0.004378,0.005016
0.003787,0.004211,0.004942
0.002758,0.003824,0.004792
0.003974,0.00399,0.004792
0.002197,0.00338,0.004567
0.003366,0.003491,0.004567
0.003179,0.003436,0.004492
0.002431,0.003103,0.004268
0.003787,0.00338,0.004343
0.002197,0.002937,0.004118
0.002384,0.002826,0.004043
0.00374,0.003214,0.004118
0.003132,0.003103,0.004043
0.004021,0.003269,0.004118
0.004068,0.003491,0.004193
0.003553,0.003491,0.004193
0.005517,0.004045,0.004417
0.005003,0.004211,0.004492
0.0036,0.004045,0.004492
0.003273,0.003934,0.004492
0.004068,0.004045,0.004492
0.00388,0.004101,0.004567
0.004675,0.004378,0.004717
0.005704,0.00471,0.004867
0.004442,0.004489,0.004867
0.006779,0.005264,0.005241
0.005096,0.005209,0.005316
0.004068,0.004932,0.005241
0.004068,0.004821,0.005241
0.004114,0.004599,0.005166
0.002758,0.004101,0.004942
0.004395,0.004378,0.005091
0.003366,0.004267,0.005016
0.005143,0.00471,0.005241
0.005096,0.004876,0.005391
0.004722,0.004766,0.005316
0.006218,0.00532,0.005615
0.004348,0.004876,0.005466
0.003553,0.004489,0.005316
0.004535,0.004766,0.005466
0.003647,0.004544,0.005391
0.004675,0.004766,0.005541
0.004909,0.004821,0.005541
0.005517,0.005209,0.005765
0.003647,0.004876,0.00569
0.005049,0.005264,0.00584
0.005751,0.005541,0.006065
0.005283,0.005431,0.006065
0.003413,0.004821,0.005765
0.003787,0.004766,0.005765
0.003179,0.004433,0.005615
0.005236,0.004987,0.00584
0.004675,0.005043,0.005915
0.00346,0.00471,0.005765
0.002945,0.004322,0.005541
0.004488,0.004599,0.00569
0.005283,0.004655,0.00569
0.003834,0.004433,0.005541
0.004629,0.004599,0.005615
0.005283,0.004876,0.005765
0.004769,0.004766,0.00569
0.004629,0.004766,0.00569
0.00561,0.005264,0.005915
0.006125,0.005486,0.006065
0.005236,0.005541,0.00614
0.005003,0.005431,0.00614
0.004301,0.00532,0.00614
0.006639,0.005818,0.006439
0.004909,0.005541,0.006289
0.005704,0.005763,0.006514
0.004488,0.005541,0.006364
0.005377,0.005652,0.006439
0.004442,0.005375,0.006364
0.005517,0.005652,0.006514
0.006966,0.006317,0.006813
0.005938,0.006151,0.006813
0.006826,0.006483,0.007038
0.006405,0.006428,0.007038
0.005704,0.006262,0.007038
0.005984,0.006483,0.007188
0.00547,0.006151,0.007113
0.007293,0.006816,0.007338
0.005657,0.00665,0.007338
0.005049,0.006373,0.007338
0.006405,0.006761,0.007637
0.004161,0.006096,0.007263
0.005844,0.006206,0.007338
0.006499,0.006373,0.007412
